0	R0	1
2	R1	3
4	R2	5
6	R3	7
8	R4	9
10	R5	11
12	R6	13
14	R7	15
16	R8	17
18	R9	19
20	R10	21
22	R11	23
24	R12	25
26	R13	27
28	R14	29
30	R8	31
32	R15	33
34	R6	35
36	R16	32
37	R8	38
39	R7	40
41	R17	42
43	R18	44
45	R19	46
47	R20	48
49	R21	50
51	R20	52
53	R22	54
55	R13	27
56	R23	57
58	R24	32
59	R17	60
61	R25	62
63	R26	64
65	R27	66
67	R13	68
69	R7	70
71	R28	32
72	R6	73
74	R29	75
76	R30	77
78	R28	32
79	R8	80
81	R19	82
83	R31	84
85	R3	86
87	R32	88
89	R33	90
91	R29	92
93	R34	90
94	R35	95
96	R36	97
98	R37	99
100	R38	101
102	R6	103
104	R39	105
106	R3	107
108	R6	109
110	R25	62
111	R30	112
113	R8	114
53	R22	115
116	R4	117
118	R28	119
120	R25	62
121	R40	122
123	R41	124
125	R42	126
127	R22	128
129	R11	23
130	R17	131
132	R3	133
134	R25	62
135	R31	136
137	R25	62
138	R9	139
140	R43	141
142	R44	143
144	R45	145
146	R31	147
148	R11	23
149	R24	150
151	R46	152
153	R47	154
155	R13	32
156	R25	62
157	R13	158
159	R14	160
161	R48	158
162	R31	163
164	R49	165
166	R6	159
167	R22	168
169	R44	170
171	R50	172
173	R31	174
175	R51	160
176	R8	177
178	R19	179
180	R28	181
182	R26	183
184	R52	185
186	R53	187
188	R30	189
190	R54	191
192	R1	193
194	R55	195
196	R7	197
198	R41	138
199	R52	200
201	R13	202
203	R6	204
205	R2	206
207	R56	207
208	R23	209
210	R57	211
212	R42	213
214	R17	215
216	R58	217
218	R38	219
220	R59	221
222	R60	90
223	R61	224
225	R62	226
227	R38	228
229	R38	230
231	R17	215
232	R10	233
234	R13	235
236	R63	237
238	R5	11
186	R38	239
240	R7	241
242	R17	243
244	R64	245
246	R65	247
248	R66	249
250	R11	23
251	R38	252
253	R8	254
255	R8	256
257	R31	4
258	R67	259
260	R19	261
262	R6	263
264	R20	265
266	R8	267
268	R32	269
270	R7	271
272	R68	273
274	R69	275
276	R14	277
278	R12	279
280	R8	281
282	R45	283
284	R19	285
286	R70	287
288	R25	62
289	R6	290
291	R31	163
292	R13	293
294	R71	295
296	R28	32
297	R38	298
92	R72	299
300	R51	29
301	R73	302
303	R74	304
305	R8	306
307	R13	308
309	R13	68
310	R75	311
312	R19	313
314	R6	315
316	R8	317
318	R76	319
320	R77	321
322	R3	323
324	R15	325
326	R19	327
328	R65	329
330	R78	331
332	R19	333
334	R19	112
335	R66	336
337	R7	338
339	R79	340
341	R26	342
343	R80	344
345	R27	346
347	R20	348
349	R21	350
351	R24	352
353	R81	353
354	R20	355
356	R7	357
358	R27	359
360	R8	361
362	R82	363
364	R1	365
366	R8	367
368	R20	369
370	R30	371
372	R83	373
374	R13	32
375	R20	376
377	R7	378
379	R8	380
381	R28	382
383	R43	384
385	R8	386
387	R84	388
328	R65	389
390	R48	32
371	R7	391
392	R17	393
394	R8	395
396	R19	397
398	R4	399
26	R13	287
400	R1	401
402	R7	403
404	R66	405
406	R47	407
408	R8	409
410	R32	411
412	R77	413
414	R6	148
415	R22	416
417	R6	418
419	R62	420
421	R15	422
423	R44	424
425	R6	426
427	R19	77
196	R7	428
429	R8	430
431	R17	432
433	R85	434
435	R47	436
124	R75	437
438	R31	439
440	R86	441
442	R47	443
32	R87	444
445	R81	445
446	R68	447
448	R11	23
449	R69	450
451	R6	452
453	R48	382
454	R7	455
456	R14	160
457	R7	458
459	R19	460
461	R43	141
194	R55	462
463	R20	464
465	R31	466
467	R10	468
469	R31	470
471	R64	472
473	R13	474
475	R32	5
476	R25	62
477	R88	478
479	R75	480
481	R86	482
271	R30	483
484	R89	485
486	R26	342
487	R1	488
489	R90	490
491	R3	492
493	R91	494
495	R13	331
496	R13	181
497	R8	498
499	R7	500
501	R25	62
502	R7	503
138	R42	504
505	R24	352
506	R92	507
508	R48	382
509	R76	510
511	R31	4
512	R93	513
514	R17	515
516	R38	517
518	R94	519
520	R95	521
522	R13	92
523	R43	141
524	R38	525
526	R29	0
527	R38	528
529	R20	530
531	R15	532
533	R28	32
534	R5	117
535	R43	141
536	R47	537
538	R25	62
539	R39	540
541	R96	542
543	R7	544
545	R7	546
547	R3	548
549	R19	550
551	R97	552
553	R84	554
555	R98	556
375	R20	557
558	R19	559
560	R36	561
562	R38	563
564	R45	565
566	R99	567
568	R2	569
570	R92	571
572	R12	573
574	R10	468
575	R28	32
576	R6	577
578	R10	579
580	R15	581
513	R35	582
583	R36	97
584	R100	585
586	R80	344
587	R89	588
589	R75	211
590	R24	352
591	R83	592
593	R101	594
595	R71	596
597	R75	480
598	R10	599
600	R19	601
602	R13	32
603	R86	604
605	R102	606
329	R29	607
608	R7	609
610	R35	611
612	R103	613
570	R42	614
615	R104	275
616	R19	617
618	R105	619
620	R48	32
621	R43	141
622	R69	623
624	R12	625
626	R65	627
628	R75	310
629	R13	331
630	R30	631
202	R69	632
633	R74	634
635	R86	636
637	R15	638
639	R13	640
641	R45	642
643	R106	592
644	R84	645
592	R94	646
647	R17	648
503	R30	499
649	R1	650
651	R6	652
653	R25	62
654	R107	655
656	R31	657
658	R2	659
660	R84	661
662	R108	90
663	R8	664
631	R47	665
410	R38	666
667	R3	668
669	R109	670
671	R8	672
673	R3	674
675	R110	494
676	R30	677
678	R97	679
680	R20	681
682	R3	683
684	R15	685
686	R8	687
688	R64	245
689	R8	690
691	R8	692
693	R47	694
695	R5	399
696	R111	697
698	R102	699
700	R66	701
702	R5	9
601	R7	703
704	R66	705
706	R112	707
